Model,Precision,Recall,F1-Score,AUC,Confusion Matrix
LSTM with External Variables,1.0,1.0,1.0,0.9596912521440824,"[[211   1]
 [  1  21]]"
LSTM without External Variables,1.0,1.0,1.0,0.9277444253859348,"[[212   0]
 [  3  19]]"
Random Forest,0.9906103286384976,1.0,0.9952830188679246,0.9751699979394189,"[[ 21   2]
 [  0 211]]"
Support Vector Machine,0.985981308411215,1.0,0.9929411764705882,0.9723882134762004,"[[ 20   3]
 [  0 211]]"
k-Nearest Neighbors,0.985981308411215,1.0,0.9929411764705882,0.9344735215330723,"[[ 20   3]
 [  0 211]]"
Isolation Forest,0.2631578947368421,0.023696682464454975,0.043478260869565216,0.9503399958788378,"[[  9  14]
 [206   5]]"
