time,temperature,humidity
0:00,28.0,84%
1:00,29.0,79%
2:00,29.0,79%
3:00,28.0,84%
4:00,28.0,84%
5:00,27.0,89%
6:00,27.0,89%
7:00,27.0,89%
9:00,30.0,79%
10:00,32.0,63%
11:00,33.0,59%
12:00,33.0,59%
13:00,32.0,59%
13:10,32.0,55%
14:00,32.0,55%
14:30,32.0,59%
15:00,32.0,59%
16:00,29.0,70%
17:00,29.0,70%
18:00,30.0,70%
18:35,30.0,66%
19:00,29.0,74%
20:00,29.0,79%
21:00,28.0,79%
22:00,29.0,74%
23:00,28.0,79%
